NM_204476	SGK1
NM_204755	TBPL1
NM_001031374	H2AFZ
NM_001031376	EED
NM_001031386	CIR1
NM_001010843	LGALS8
NM_001006251	ING4
NM_205323	ACTN2
NM_204829	LDB2
NM_204941	CHD1Z
NM_001012878	NCOA7
NM_001006386	LPIN2
NM_001044690	ASF1A
NM_001145990	VGLL2
NM_204831	HDAC2
NM_001030538	JAK2
NM_001031610	PSIP1
NM_001278150	SS18
NM_001079479	SS18
NM_204237	TLE4Z1
NM_204237	TLE4Z1
NM_001006252	TAF13
NM_001031430	SYK
NM_001006387	TCEA1
NM_001031431	TRIM14
NM_001006389	TGS1
NM_001006254	NFKBIZ
NM_001031022	SDR16C5
NM_204117	NRG1
NM_001305211	ASCC3
NM_001167765	CCNC
NM_001031434	RNF20
NM_001277723	FHL5
NM_001103201	UFL1
NM_001031166	TNIP2
NM_001012889	RNF4
NM_001031167	NELFA
NM_205453	TXN
NM_001012291	PNRC1
NM_001012891	KDM3A
NM_204735	MYO6
NM_204155	SMYD1
NM_001008677	CHAF1B
NM_204550	DYRK1A
NM_001006416	TAF1B
NM_204563	DDX1
NM_204670	RBBP7
NM_001006263	TRAPPC2
NM_001039293	ELP3
NM_001031102	SUPT3H
NM_001030814	NCK2
NM_001006267	ARGLU1
NM_001030822	TDRD3
NM_204419	RB1
NM_001008442	SLC25A15
NM_001006275	SUPT20H
NM_204276	BRCA2
NM_204312	SAP18
NM_001030831	PSPC1
NM_001007822	BIRC2
NM_001006280	MED17
NM_001267553	JUP
NM_001281515	PCGF2
NM_001039299	CENPU
NM_001031298	SGF29
NM_204256	CDKN1B
NM_001277519	GTF2H3
NM_001305151	S100A9
NM_001031037	SERTAD2
NM_001302158	CTNNBIP1
NM_001204866	GTF2A1L
NM_205327	FGF3
NM_204905	PCBD1
NM_001001472	NFKBIA
NM_001201487	BCL10
NM_204208	CBL
NM_001319019	PADI2
NM_001006195	THOC5
NM_001199482	BRD1
NM_204944	AXIN1
NM_001030950	RAD21
NM_001007925	RNF141
NM_001159425	MED6
NM_001017414	SIRT2
NM_204331	DPF2
NM_001321595	MED31
NM_001006513	SLC19A1
NM_001039311	COPS5
NM_001277438	MED30
NM_001277436	MED30
NM_001277637	MED9
NM_205180	FGF1
NM_001318456	TGFB1
NM_204750	TDG
NM_001044661	ERBB2
NM_204194	ILK
NM_001305177	EYA4
NM_001012691	CSNK2A2
NM_001031397	IKBKB
NM_001197036	TADA1
NM_001030580	CBFA2T3
NM_001199493	SIRT3
NM_001199857	CDK2
NM_001031337	STK3
NM_001080887	ENG
NM_001282047	DDX6
NM_001303464	RUNX1T1
NM_204744	RUNX1T1
NM_001012847	ELL
NM_204232	HIRA
NM_001276303	NACA
NM_001012532	EHMT1
NM_001305055	TRIP13
NM_001305056	TRIP13
NM_001135786	CDK5
NM_001348947	NLRPL
NM_001195123	CIDEA
NM_001031519	ESF1
NM_001006486	SETD3
NM_001007888	ELOC
NM_001006201	CDK9
NM_001008454	PEX2
NM_204642	CBX4
NM_204585	PARK7
NM_001031586	CDK5RAP3
NM_205126	ACTN4
NM_001277433	ENY2
NM_001277432	ENY2
NM_001031233	TRIM8
NM_001318438	NOD1
NM_205081	CTNNB1
NM_001006148	BRD8
NM_204268	NAB1
NM_001006203	EDF1
NM_206952	DNMT1
NM_205497	EGFR
NM_205243	YAP1
NM_001277556	RWDD3
NM_001005831	PRMT7
NM_001031029	KDM5B
NM_001031384	SUPT5H
NM_001031369	TBL1XR1
NM_001136182	HSBP1L1
NM_001318439	PADI1
NM_001031401	HCLS1
NM_001031402	HDAC7
NM_205510	FGFR1
NM_001006564	ANP32E
NM_001031380	PUF60
NM_001012890	CTBP1
NM_001159754	TBL1X
NM_001024829	TIRAP
NM_204469	AIP
NM_001305064	CREG1
NM_001301686	SRA1
NM_001105064	NSMCE3
NM_001030916	WDR77
NM_204637	ACTR6
NM_213575	MID1IP1
NM_001077586	CHD7
NM_001007988	BMI1
NM_001024828	DNMT3B
NM_204886	MTPN
NM_001039300	CAMK2D
NM_204783	WNT4
NM_001012554	WWP1
NM_001277156	RRN3
NM_001199592	GTF2H1
NM_204345	CHEK1
NM_204127	ACTN1
NM_204738	TAX1BP1
NM_001006457	PPARGC1A
NM_001112809	HSBP1
NM_204900	CLU
NM_001030623	RNF14
NM_204508	MTF2
NM_204340	TNKS
NM_001305162	TAF2
NM_204465	ARVCF
NM_204952	FOXD2
NM_001318463	USF2
NM_204951	FOXD3
NM_001321488	ZBTB16
NM_001031210	YY1
NM_001290201	CUX1
NM_001252126	RPS8
NM_001031584	POU3F1
NM_205443	PLAU
NM_205264	TP53
NM_001101830	NOX1
NM_204271	LMO2
NM_204796	NEUROG2
NM_205138	FOXC2
NM_204983	EFNA2
NM_205006	FOXC1
NM_001305099	HENMT1
NM_204399	FGF9
NM_204748	P2RX5
NM_001024827	FOXP3
NM_001030541	POSTN
NM_001198642	PEBP1
NM_001162400	ATM
NM_001006500	POLR3A
NM_204716	SLC6A2
NM_204882	GC
NM_001301787	CRX
NM_205187	SOX11
NM_204797	NHLH2
NM_204195	SOX3
NM_205192	FOXD1
